dataset,toggles,agent,cov,cov_std,greedy,greedy_std,beam,beam_std,at10,at10_std,path
abel_level1,(base),ppo-RND,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/abel_level1_hidden_dim256_nenvs1/summary.csv
abel_level2,(base),ppo-tree,0.9458333333333332,,0.6153846153846154,,0.7692307692307693,,0.7692307692307693,,data/abel_level2_hidden_dim256_nenvs1/summary.csv
abel_level2,(base),ppo-tree,0.8583333333333333,,0.6538461538461539,,0.8461538461538461,,0.7307692307692307,,data/abel_level2_hidden_dim64_nenvs1/summary.csv
abel_level2,(base),ppo-tree,0.9666666666666668,,0.1923076923076923,,0.2307692307692307,,0.1923076923076923,,data/abel_level2_hidden_dim64_nenvs2/summary.csv
abel_level3,(base),ppo-tree,0.7623554153522608,0.1904389128800235,0.5219638242894057,0.1461491032804059,0.6658053402239449,0.2163815916810977,0.6339362618432386,0.1988880904509904,data/abel_level3_hidden_dim256_nenvs1/summary.csv
abel_level3,(base),ppo-tree,0.9630054488098652,,0.5503875968992248,,0.8010335917312662,,0.7312661498708011,,data/abel_level3_hidden_dim64_nenvs1/summary.csv
abel_level4,(base),ppo-tree,0.8296,,0.53,,0.702,,0.663,,data/abel_level4_hidden_dim64_nenvs1/summary.csv
abel_level1,dyn,ppo,0.8125,,1.0,,1.0,,1.0,,data/dynamic_actions/abel_level1_hidden_dim256_nenvs1/summary.csv
abel_level2,dyn,ppo-tree,1.0,0.0,0.5961538461538461,0.0271964146610211,0.8461538461538461,0.0,0.7884615384615385,0.027196414661021,data/dynamic_actions/abel_level2_hidden_dim256_nenvs1/summary.csv
abel_level3,dyn,ppo,0.2928018353885862,0.0533502309342517,0.0404823428079242,0.0116518081468291,0.0732127476313522,0.0233036162936583,0.1068044788975021,0.0039470936218396,data/dynamic_actions/abel_level3_hidden_dim256_nenvs1/summary.csv
abel_level4,dyn,ppo,0.0812,,0.018,,0.03,,0.042,,data/dynamic_actions/abel_level4_hidden_dim256_nenvs1/summary.csv
cov_level5,dyn,ppo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/dynamic_actions/cov_level5_hidden_dim256_nenvs1/summary.csv
abel_level3,dyn+no-curr,ppo-tree,0.931459707484944,,0.4754521963824289,,0.6537467700258398,,0.6511627906976745,,data/dynamic_actions/no_curriculum/abel_level3_hidden_dim256_nenvs1/summary.csv
poesia-med,dyn,ppo-tree,0.16,,0.0,,0.02,,0.02,,data/dynamic_actions/poesia-med_hidden_dim256_nenvs1/summary.csv
poesia-small,dyn,ppo-tree,0.41,,0.0,,0.2,,0.2,,data/dynamic_actions/poesia-small_hidden_dim256_nenvs1/summary.csv
poesia-tiny,dyn,ppo-tree,0.375,,0.25,,0.25,,0.125,,data/dynamic_actions/poesia-tiny_hidden_dim256_nenvs1/summary.csv
abel_level3,dyn+sparse,ppo-tree,0.6380843131631775,,0.0,,0.0,,0.0077519379844961,,data/dynamic_actions/sparse_rewards/abel_level3_hidden_dim256_nenvs1/summary.csv
test_cov4,dyn,ppo-tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/dynamic_actions/test_cov4_hidden_dim256_nenvs1/summary.csv
test_cov5,dyn,ppo-tree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/dynamic_actions/test_cov5_hidden_dim256_nenvs1/summary.csv
test_cov,dyn,ppo-RND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,data/dynamic_actions/test_cov_hidden_dim256_nenvs1/summary.csv
abel_level3,buf+dyn,ppo-tree,0.9896759392027532,,0.4728682170542636,,0.6382428940568475,,0.6563307493540051,,data/dynamic_actions/use_buffer/abel_level3_hidden_dim256_nenvs1/summary.csv
poesia-full,buf+dyn,ppo-tree,515.185,,0.865,,0.905,,0.9,,data/dynamic_actions/use_buffer/poesia-full_hidden_dim256_nenvs1/summary.csv
test_cov2,buf+dyn,ppo-RIDE,0.7551020408163265,,0.2,,0.4,,0.2,,data/dynamic_actions/use_buffer/test_cov2_hidden_dim256_nenvs1/summary.csv
test_cov,buf+dyn,ppo-E3B,0.0526315789473684,,0.0,,0.0,,0.0,,data/dynamic_actions/use_buffer/test_cov_hidden_dim256_nenvs1/summary.csv
abel_level2,dyn+rc,ppo-tree,1.0,0.0,0.6538461538461537,0.1087856586440842,0.0,0.0,0.8076923076923077,0.1087856586440842,data/dynamic_actions/use_relabel_constants/abel_level2_hidden_dim256_nenvs1/summary.csv
abel_level3,dyn+rc,ppo-tree,1.0,,0.9018087855297158,,0.8811369509043928,,0.9715762273901808,,data/dynamic_actions/use_relabel_constants/abel_level3_hidden_dim256_nenvs1/summary.csv
poesia-full,dyn+rc,ppo-tree,1472.575,,0.955,,0.865,,0.96,,data/dynamic_actions/use_relabel_constants/poesia-full_hidden_dim256_nenvs1/summary.csv
abel_level3,buf+dyn+rc,ppo-tree,0.9997132205334098,,0.8010335917312662,,0.8992248062015504,,0.896640826873385,,data/dynamic_actions/use_relabel_constants/use_buffer/abel_level3_hidden_dim256_nenvs1/summary.csv
abel_level4,buf+dyn+rc,ppo-tree,0.9249,,0.441,,0.665,,0.64,,data/dynamic_actions/use_relabel_constants/use_buffer/abel_level4_hidden_dim256_nenvs1/summary.csv
test_cov4,buf+dyn+rc,ppo-tree,1.5,1.6311696066670338,0.40625,0.4988826801678212,0.4375,0.4771567577102638,0.5,0.4432026302139591,data/dynamic_actions/use_relabel_constants/use_buffer/test_cov4_hidden_dim256_nenvs1/summary.csv
test_cov5,buf+dyn+rc,ppo-tree,1.19,,0.2,,0.6,,0.5,,data/dynamic_actions/use_relabel_constants/use_buffer/test_cov5_hidden_dim256_nenvs1/summary.csv
abel_level2,buf,ppo-tree,0.9458333333333332,,0.6538461538461539,,0.7307692307692307,,0.7307692307692307,,data/use_buffer/abel_level2_hidden_dim256_nenvs1/summary.csv
abel_level3,buf,ppo-tree,0.913488194245292,0.0158776749427355,0.6098191214470284,0.0051679586563307,0.7872523686477174,0.0122114098869576,0.7510766580534023,0.0104430281248769,data/use_buffer/abel_level3_hidden_dim256_nenvs1/summary.csv
